skenario,produk,s,kerugian_output_rp,pct_output,kerugian_ntb_rp,pct_pdb,kerugian_komp_tk_rp,pct_komp_tk,kerugian_surplus_rp,pct_surplus,pi_maks_pct,indeks_harga_bawah_pct,indeks_harga_atas_pct
Gandum (9),9,0.1,18224251.4605844,0.06349857972171626,8060525.358950682,0.05356107699466162,1895845.9439581917,0.03262623254064986,6118836.794076887,0.06694353933698044,34.625161461981,0.0766846376046256,0.07763742308701821
Gandum (9),9,0.2,36464642.17350209,0.1270533932812475,16129123.706188107,0.10717579788075063,3815176.0712145264,0.0656566120679018,12222216.144554334,0.13371796548815895,87.61494044278315,0.16228625194377605,0.1643026138863227
Gandum (9),9,0.3,54723609.03966826,0.19067293154843126,24207017.620884247,0.1608522865278966,5761580.664452538,0.0991529249300047,18307763.347451806,0.20029729784730524,171.8281828459045,0.2579159409196085,0.2611204753852056
Gandum (9),9,0.4,73004369.6174629,0.25436840543021433,32295822.18553818,0.21460127493609132,7739856.265229395,0.13319771637845104,24372287.69648463,0.26664662828091784,171.8281828459045,0.2579159409196085,0.2611204753852056
Gandum (9),9,0.5,91311351.03337023,0.31815524031976605,40397761.04412943,0.268437538912257,9756696.984135777,0.16790618755048536,30411305.994609304,0.33271690807471715,171.8281828459045,0.2579159409196085,0.2611204753852056
Gandum (9),9,0.6,109650995.3082799,0.3820558820869712,48516072.418132305,0.32238259599054786,11822015.092372656,0.20344892196120784,36418125.65516219,0.3984349165409055,171.8281828459045,0.2579159409196085,0.2611204753852056
Gandum (9),9,0.7,128033464.03326316,0.4461057366634332,56655869.47370686,0.37647042245342544,13951795.179128645,0.24010100363081355,42381845.98910105,0.4636813939688128,171.8281828459045,0.2579159409196085,0.2611204753852056
Gandum (9),9,0.8,146476971.1839545,0.5103682668249141,64826330.413362324,0.4307620061880781,16175543.857069988,0.27837022150143864,48282086.06260696,0.5282333614016949,171.8281828459045,0.2579159409196085,0.2611204753852056
Gandum (9),9,0.9,165023084.11600897,0.5749883052989799,73048451.40179235,0.48539686380709224,18563622.693019595,0.3194674507754722,54069360.35136673,0.5915494191822378,171.8281828459045,0.2579159409196085,0.2611204753852056
Gandum (9),9,1.0,183990173.15393266,0.6410751466690269,81505908.6260944,0.5415954981885204,21650609.923090134,0.3725924230546117,59391738.369836986,0.6497792485168993,171.8281828459045,0.2579159409196085,0.2611204753852056
Kedelai (7),7,0.1,15835771.424183918,0.05517642227491376,7454552.164024109,0.04953446886370123,1421360.0791672315,0.024460650199291323,5987147.185872388,0.0655027804535856,30.636851664690255,0.01666400081481209,0.02491853666205649
Kedelai (7),7,0.2,31976711.26498103,0.11141613985568814,15052759.647029122,0.10002350746795725,2888830.770875306,0.04971483300187446,12070951.755153263,0.13206304741419478,74.68456715045552,0.03478141804316467,0.05201044156794134
Kedelai (7),7,0.3,48475816.87635823,0.16890381090033776,22819570.48107062,0.15163289203780164,4410834.342526973,0.07590748996045169,18267785.374728892,0.199859916188069,140.16104128987485,0.05463021926495148,0.08169137392263318
Kedelai (7),7,0.4,65404672.89370598,0.22788885704832046,30788682.49501133,0.2045865399887742,5998848.703097344,0.10323614816233505,24599659.82140869,0.26913420807773825,171.8281828459045,0.062353333186085325,0.09324014300442236
Kedelai (7),7,0.5,82864426.09141123,0.2887237030085959,39007709.71031929,0.2592008399129713,7669260.03697238,0.13198280281073926,31097508.832206547,0.3402243556824563,171.8281828459045,0.062353333186085325,0.09324014300442236
Kedelai (7),7,0.6,101007019.7566035,0.3519377632787549,47548177.93128131,0.3159510708945604,9446987.798246142,0.16257630093653724,37807496.9605225,0.41363542535723713,171.8281828459045,0.062353333186085325,0.09324014300442236
Kedelai (7),7,0.7,120081858.89501429,0.4184000372618012,56527492.39973838,0.3756173745394282,11373559.81764251,0.19573130855276868,44804776.434478864,0.49018962503291447,171.8281828459045,0.062353333186085325,0.09324014300442236
Kedelai (7),7,0.8,140560338.76732725,0.4897530028178377,66167558.22033505,0.4396742795992493,13529043.618219536,0.23282573383523805,52229814.18318842,0.5714237424538042,171.8281828459045,0.062353333186085325,0.09324014300442236
Kedelai (7),7,0.9,163609078.20425415,0.5700614984389706,77017550.76217675,0.5117709805022213,16117574.280875495,0.2773726041163173,60424258.375571236,0.6610756020471975,171.8281828459045,0.062353333186085325,0.09324014300442236
Kedelai (7),7,1.0,200590178.77699146,0.6989143826297743,94426076.64206237,0.6274482290057225,21498828.41772946,0.36998036551636665,72295707.79283303,0.7909559809160595,171.8281828459045,0.062353333186085325,0.09324014300442236
Gula (65),65,0.1,116261841.18116595,0.40508998719660144,57879872.15183397,0.38460375108467143,15471743.096358543,0.2662582841605192,42117389.49623824,0.4607880901876074,8.061485366801957,0.008348147205592123,0.04557080749693705
Gula (65),65,0.2,238578580.07078427,0.8312769947936596,118774118.60041997,0.7892376027656746,31857450.052927237,0.54824527113679,86320047.76012069,0.944390201482968,16.98864394429411,0.016895097588034008,0.09222684038327918
Gula (65),65,0.3,368181897.3852912,1.282852555770374,183295920.09182656,1.2179760563551791,49345789.34369801,0.8492078183673964,133029406.9618772,1.455417040465633,26.898779754870674,0.02565055123185754,0.1400210494125315
Gula (65),65,0.4,506780775.8513799,1.7657712617953607,252296077.72200805,1.6764725675497112,68199212.20357198,1.173662534940621,182829543.25689632,2.000258731010437,37.928562160088134,0.03462493594797379,0.1890103578458607
Gula (65),65,0.5,656865746.4032998,2.2887108452528486,327014479.06580997,2.1729660179238173,88801302.46273656,1.5282106403713775,236570532.2425304,2.588215581510284,50.23782615059784,0.04382948193952131,0.23925606903750501
Gula (65),65,0.6,822316964.1305156,2.865190892273104,409382823.1107713,2.720292280276681,111751675.65007152,1.9231711142911923,295574754.15426755,3.2337551805432083,64.01424328341061,0.053276306296415124,0.29082432767302685
Gula (65),65,0.7,1009793041.6239933,3.5184119410707098,502716037.97304165,3.3404785937960932,138083441.5338819,2.376323080393188,362107375.9426476,3.9616597372057294,79.47909294773959,0.06297850891324584,0.3437866433652682
Gula (65),65,0.8,1232625792.8380425,4.2948258995906246,613651242.7695079,4.077627697721943,169875546.84069067,2.923443812434929,440693230.720818,4.821433487956071,96.89443266361843,0.072950281735428,0.39822048700645973
Gula (65),65,0.9,1526720240.584209,5.319536284887581,760063417.9142482,5.050516366470475,212767062.7930706,3.6615779303167146,543478438.8853279,5.945961867709769,116.57205856768114,0.08320703361970962,0.4542099723558966
Gula (65),65,1.0,2420195152.8498487,8.432662114420767,1204549690.7278194,8.00406621850358,352190950.38279474,6.060969185033601,846307023.0431932,9.259078055995442,138.88477203652337,0.09376553356613199,0.5118466379135574
Tepung-terigu dst (61),61,0.1,79059974.37320983,0.2754678893885898,38937053.84424405,0.2587313414479887,11094085.050856505,0.19092173593983428,27664451.910920426,0.3026647689847558,5.920625633866239,0.003061053319763482,0.01916836527226378
Tepung-terigu dst (61),61,0.2,162329529.20789224,0.5656031784838792,79947796.53859349,0.5312420587080182,22848908.44788735,0.3932143340531004,56732351.97560652,0.6206840554784558,12.343871836734133,0.006194197030454862,0.03878816173555072
Tepung-terigu dst (61),61,0.3,250668210.95511544,0.873400776512495,123455658.98324801,0.8203457915910879,35401132.22122928,0.6092296558868445,87488528.8067752,0.9571740457892831,19.325958193712477,0.00940290877732942,0.05888116646055415
Tepung-terigu dst (61),61,0.4,345269395.6899476,1.2030187519692996,170048525.52782357,1.129948950351062,48940912.52046649,0.8422401607751916,120328016.79454368,1.316456639834535,26.93098528991844,0.01269092408117361,0.07947077133870394
Tepung-terigu dst (61),61,0.5,447873422.38377225,1.5605209507771955,220583730.01049417,1.46574839985365,63746248.32181698,1.0970300239688024,155826222.3343534,1.704827109405946,35.23227439126806,0.01606226248197219,0.10058214679423173
Tepung-terigu dst (61),61,0.6,561193844.1142159,1.9553621791761773,276398040.97724456,1.8366267823370561,80251836.00292887,1.381080077518891,194879092.29882818,2.132087620622639,44.31397692349008,0.019521257082008837,0.12224242678354391
Tepung-terigu dst (61),61,0.7,689891717.2624474,2.403782909969597,339787630.1109363,2.2578418412884513,99206879.54289445,1.7072836175923445,239023073.01580852,2.6150477663285523,54.27301702178011,0.02307258803302468,0.14448091849234812
Tepung-terigu dst (61),61,0.8,843310385.6007311,2.938338063762765,415355327.5292239,2.759978746699428,122119539.77018718,2.1015950768556384,291331743.1316589,3.187334237338088,65.22144747654876,0.02672132061665532,0.16732934079596443
Tepung-terigu dst (61),61,0.9,1046654447.7983745,3.6468477752491886,515517828.79900396,3.4255447245461834,153082085.88085917,2.634439653534837,360072635.037513,3.939398519525387,77.28932168141857,0.030472948695570504,0.1908220963510633
Tepung-terigu dst (61),61,1.0,1674178187.1440172,5.833322554544789,824660184.4951501,5.479752952719028,254327227.51338822,4.376800389670035,566553377.6592199,6.198414764149786,90.62821350575322,0.03433344447071758,0.21499658317632644
Kakao (23),23,0.1,22420871.327672273,0.07812082095715805,11690969.827121872,0.07768487873528093,2789756.6870060335,0.04800983470843611,8835407.182638226,0.09666435765401284,1.8265572099312344,0.000622712127853402,0.0072142057594424365
Kakao (23),23,0.2,45929617.29612282,0.16003211280164426,23949199.058030896,0.15913911780989148,5721926.386544088,0.09847050149976992,18092467.846967246,0.19794184316027802,3.7070865345748327,0.0012522615172549973,0.01450762213553019
Kakao (23),23,0.3,70737806.5848954,0.24647104219809138,36885007.68596843,0.24509577833199994,8824153.493101114,0.15185774179479092,27853236.638154857,0.30473018080062136,5.6438053758008255,0.001888799980295712,0.02188200789224382
Kakao (23),23,0.4,97136018.02690825,0.3384500701097059,50649914.617006615,0.33656168249158497,12134401.756084474,0.20882488616617928,38230415.86466091,0.41826239764761564,7.639048394235037,0.00253248444205447,0.02933918102823396
Kakao (23),23,0.5,125542590.00470781,0.4374268088390965,65462057.46789775,0.4349863246039678,15707320.145916522,0.2703124066089244,49386266.350625835,0.5403137189980378,9.695275125018977,0.0031834771728129316,0.036881021467061036
Kakao (23),23,0.6,156599583.7052404,0.5456383858509334,81656231.47372656,0.5425943727354682,19626773.415176786,0.33776355906285804,61569834.13045112,0.673608849491308,11.815078182231264,0.003841946033604811,0.04450947390191801
Kakao (23),23,0.7,191387826.75527662,0.6668507181911023,99796021.45592055,0.6631307701334865,24033920.28296987,0.41360759006529735,75200373.07986543,0.8227346639316685,14.001192104909066,0.004508064736029279,0.052226550805604455
Kakao (23),23,0.8,232014767.1330982,0.8084067660765276,120980331.31283468,0.8038975813271252,29203965.1237281,0.5025805816513083,91095397.36783037,0.9966352302474221,16.25650290305527,0.005182013117334586,0.06003433561740801
Kakao (23),23,0.9,283921204.59250546,0.9892638544576356,148046201.92103374,0.9837465508441714,35847312.752897434,0.6169081224983896,111365574.32072462,1.2184024441608872,18.58405836809336,0.005863977431861525,0.06793498611951719
Kakao (23),23,1.0,404385733.98946726,1.4089972267772644,210860881.16904342,1.4011414130613904,51441399.71809802,0.885271862288088,158232602.735528,1.731154273614952,20.987079219026008,0.006554150660028518,0.07593073801665619
